A new study created in memory with name: no-name-a33eba91-13aa-4f10-b8f2-744f56c4113b
Start optimization.
Trial 0 finished with value: 0.5703496914487217 and parameters: {'n_estimators': 261, 'learning_rate': 0.15318822100312696, 'max_depth': 8, 'subsample': 0.6627759251822026, 'colsample_bytree': 0.5444189522442642, 'min_child_weight': 9}. Best is trial 0 with value: 0.5703496914487217.
Trial 11 finished with value: 0.6116367910667059 and parameters: {'n_estimators': 139, 'learning_rate': 0.06468440381258017, 'max_depth': 7, 'subsample': 0.4351878537342465, 'colsample_bytree': 0.18170204844469168, 'min_child_weight': 1}. Best is trial 1 with value: 0.6188657067293565.
Trial 12 finished with value: 0.5995298266235675 and parameters: {'n_estimators': 149, 'learning_rate': 0.054129176284853614, 'max_depth': 6, 'subsample': 0.39461724305872503, 'colsample_bytree': 0.21514233732193266, 'min_child_weight': 1}. Best is trial 1 with value: 0.6188657067293565.
Trial 13 finished with value: 0.5654128709961799 and parameters: {'n_estimators': 104, 'learning_rate': 0.13571574854487276, 'max_depth': 7, 'subsample': 0.6142686980935403, 'colsample_bytree': 0.14183584783802228, 'min_child_weight': 6}. Best is trial 1 with value: 0.6188657067293565.
Trial 14 finished with value: 0.5799882456655892 and parameters: {'n_estimators': 182, 'learning_rate': 0.34686613198266997, 'max_depth': 2, 'subsample': 0.7631761839241277, 'colsample_bytree': 0.33761405392026267, 'min_child_weight': 3}. Best is trial 1 with value: 0.6188657067293565.
Trial 15 finished with value: 0.6115486335586248 and parameters: {'n_estimators': 186, 'learning_rate': 0.16069055363718227, 'max_depth': 4, 'subsample': 0.5363207814169658, 'colsample_bytree': 0.9920909938733933, 'min_child_weight': 1}. Best is trial 1 with value: 0.6188657067293565.
Trial 16 finished with value: 0.5848075227740229 and parameters: {'n_estimators': 119, 'learning_rate': 0.06159622049888549, 'max_depth': 7, 'subsample': 0.32166464922216775, 'colsample_bytree': 0.3410626258374986, 'min_child_weight': 6}. Best is trial 1 with value: 0.6188657067293565.
Trial 17 finished with value: 0.5897443432265648 and parameters: {'n_estimators': 224, 'learning_rate': 0.06845214454336813, 'max_depth': 6, 'subsample': 0.541772377556424, 'colsample_bytree': 0.11376058493966595, 'min_child_weight': 3}. Best is trial 1 with value: 0.6188657067293565.
Trial 18 finished with value: 0.5677637378783427 and parameters: {'n_estimators': 297, 'learning_rate': 0.114526098752765, 'max_depth': 8, 'subsample': 0.300469985534615, 'colsample_bytree': 0.7080206587234134, 'min_child_weight': 2}. Best is trial 1 with value: 0.6188657067293565.
Trial 19 finished with value: 0.5945636203349985 and parameters: {'n_estimators': 163, 'learning_rate': 0.07269573024155591, 'max_depth': 4, 'subsample': 0.7543335644337887, 'colsample_bytree': 0.5698097461396736, 'min_child_weight': 5}. Best is trial 1 with value: 0.6188657067293565.
Trial 20 finished with value: 0.5800470173376433 and parameters: {'n_estimators': 119, 'learning_rate': 0.05150453701547808, 'max_depth': 5, 'subsample': 0.5057920492205044, 'colsample_bytree': 0.357133257022599, 'min_child_weight': 7}. Best is trial 1 with value: 0.6188657067293565.
Trial 21 finished with value: 0.6188657067293565 and parameters: {'n_estimators': 184, 'learning_rate': 0.15812179099461218, 'max_depth': 3, 'subsample': 0.5645936282751967, 'colsample_bytree': 0.9964250412024952, 'min_child_weight': 1}. Best is trial 1 with value: 0.6188657067293565.
Trial 22 finished with value: 0.6018513076697032 and parameters: {'n_estimators': 234, 'learning_rate': 0.11913984524104597, 'max_depth': 3, 'subsample': 0.619642384952992, 'colsample_bytree': 0.7914170976257012, 'min_child_weight': 2}. Best is trial 1 with value: 0.6188657067293565.
Trial 23 finished with value: 0.6236849838377903 and parameters: {'n_estimators': 166, 'learning_rate': 0.17925879546289208, 'max_depth': 3, 'subsample': 0.5809469131577648, 'colsample_bytree': 0.9826000851085399, 'min_child_weight': 1}. Best is trial 23 with value: 0.6236849838377903.
Trial 24 finished with value: 0.5800176315016162 and parameters: {'n_estimators': 177, 'learning_rate': 0.18860006652824768, 'max_depth': 3, 'subsample': 0.5817728228730871, 'colsample_bytree': 0.9968651373141822, 'min_child_weight': 2}. Best is trial 23 with value: 0.6236849838377903.
Trial 25 finished with value: 0.5896267998824567 and parameters: {'n_estimators': 204, 'learning_rate': 0.1737721016970867, 'max_depth': 2, 'subsample': 0.7269000724712739, 'colsample_bytree': 0.9144385397215831, 'min_child_weight': 4}. Best is trial 23 with value: 0.6236849838377903.
Trial 26 finished with value: 0.6382603585071995 and parameters: {'n_estimators': 196, 'learning_rate': 0.13527539970030159, 'max_depth': 3, 'subsample': 0.6919117429245928, 'colsample_bytree': 0.8188491076946557, 'min_child_weight': 1}. Best is trial 26 with value: 0.6382603585071995.
Trial 27 finished with value: 0.5896561857184837 and parameters: {'n_estimators': 237, 'learning_rate': 0.21733507120941242, 'max_depth': 4, 'subsample': 0.7039755773520903, 'colsample_bytree': 0.8052979822052599, 'min_child_weight': 4}. Best is trial 26 with value: 0.6382603585071995.
Trial 28 finished with value: 0.631060828680576 and parameters: {'n_estimators': 197, 'learning_rate': 0.12888554598709775, 'max_depth': 2, 'subsample': 0.8115629409528705, 'colsample_bytree': 0.7011175321943973, 'min_child_weight': 2}. Best is trial 26 with value: 0.6382603585071995.
Trial 29 finished with value: 0.5945930061710256 and parameters: {'n_estimators': 168, 'learning_rate': 0.13556978604236572, 'max_depth': 2, 'subsample': 0.8256034163865498, 'colsample_bytree': 0.8106431318730368, 'min_child_weight': 3}. Best is trial 26 with value: 0.6382603585071995.
Trial 30 finished with value: 0.6237437555098443 and parameters: {'n_estimators': 191, 'learning_rate': 0.14041476092160846, 'max_depth': 2, 'subsample': 0.6623007128983791, 'colsample_bytree': 0.7455664428760024, 'min_child_weight': 2}. Best is trial 26 with value: 0.6382603585071995.
Trial 31 finished with value: 0.6017337643255951 and parameters: {'n_estimators': 195, 'learning_rate': 0.14149634405413689, 'max_depth': 2, 'subsample': 0.6307212009393174, 'colsample_bytree': 0.7319054358676632, 'min_child_weight': 2}. Best is trial 26 with value: 0.6382603585071995.
Trial 32 finished with value: 0.6236849838377903 and parameters: {'n_estimators': 163, 'learning_rate': 0.12375822565622215, 'max_depth': 3, 'subsample': 0.6634880382706055, 'colsample_bytree': 0.9105310017540824, 'min_child_weight': 2}. Best is trial 26 with value: 0.6382603585071995.
Trial 33 finished with value: 0.6236555980017632 and parameters: {'n_estimators': 200, 'learning_rate': 0.1504046337629633, 'max_depth': 2, 'subsample': 0.6939059467000646, 'colsample_bytree': 0.7000812029128322, 'min_child_weight': 2}. Best is trial 26 with value: 0.6382603585071995.
Trial 34 finished with value: 0.6189538642374377 and parameters: {'n_estimators': 220, 'learning_rate': 0.12565469095332518, 'max_depth': 4, 'subsample': 0.803039806472348, 'colsample_bytree': 0.7715824369444886, 'min_child_weight': 1}. Best is trial 26 with value: 0.6382603585071995.
Trial 35 finished with value: 0.606699970614164 and parameters: {'n_estimators': 171, 'learning_rate': 0.10069722098526478, 'max_depth': 3, 'subsample': 0.8475175979482247, 'colsample_bytree': 0.6448235071589086, 'min_child_weight': 3}. Best is trial 26 with value: 0.6382603585071995.
Trial 36 finished with value: 0.6212459594475463 and parameters: {'n_estimators': 194, 'learning_rate': 0.10976862649817881, 'max_depth': 5, 'subsample': 0.6676043242766291, 'colsample_bytree': 0.6833990143756625, 'min_child_weight': 1}. Best is trial 26 with value: 0.6382603585071995.
Trial 37 finished with value: 0.6408169262415516 and parameters: {'n_estimators': 133, 'learning_rate': 0.14336123086007413, 'max_depth': 2, 'subsample': 0.7762814371051743, 'colsample_bytree': 0.8365814431937361, 'min_child_weight': 2}. Best is trial 37 with value: 0.6408169262415516.
Trial 38 finished with value: 0.5920952101087276 and parameters: {'n_estimators': 126, 'learning_rate': 0.09495500394189564, 'max_depth': 2, 'subsample': 0.8978429256225244, 'colsample_bytree': 0.8333455682867671, 'min_child_weight': 4}. Best is trial 37 with value: 0.6408169262415516.
Trial 39 finished with value: 0.6019394651777843 and parameters: {'n_estimators': 98, 'learning_rate': 0.1446419548796152, 'max_depth': 2, 'subsample': 0.7680502366036495, 'colsample_bytree': 0.7470172404473565, 'min_child_weight': 3}. Best is trial 37 with value: 0.6408169262415516.
Trial 40 finished with value: 0.5824272700558331 and parameters: {'n_estimators': 221, 'learning_rate': 0.10858670642575494, 'max_depth': 3, 'subsample': 0.9920659314352569, 'colsample_bytree': 0.6617033620952184, 'min_child_weight': 5}. Best is trial 37 with value: 0.6408169262415516.
Trial 41 finished with value: 0.6164266823391126 and parameters: {'n_estimators': 142, 'learning_rate': 0.12879454042888364, 'max_depth': 3, 'subsample': 0.7208090367047065, 'colsample_bytree': 0.8744446896061333, 'min_child_weight': 2}. Best is trial 37 with value: 0.6408169262415516.
Trial 42 finished with value: 0.6357625624449016 and parameters: {'n_estimators': 157, 'learning_rate': 0.16963294564674902, 'max_depth': 2, 'subsample': 0.6761249955505212, 'colsample_bytree': 0.8473136756281985, 'min_child_weight': 1}. Best is trial 37 with value: 0.6408169262415516.
Trial 43 finished with value: 0.6115486335586249 and parameters: {'n_estimators': 155, 'learning_rate': 0.15813225672834214, 'max_depth': 2, 'subsample': 0.6753375859768798, 'colsample_bytree': 0.8417738355730768, 'min_child_weight': 2}. Best is trial 37 with value: 0.6408169262415516.
Trial 44 finished with value: 0.6067587422862181 and parameters: {'n_estimators': 140, 'learning_rate': 0.13109217163065826, 'max_depth': 2, 'subsample': 0.7961012009340105, 'colsample_bytree': 0.7576556911943081, 'min_child_weight': 3}. Best is trial 37 with value: 0.6408169262415516.
Trial 45 finished with value: 0.6164560681751396 and parameters: {'n_estimators': 209, 'learning_rate': 0.1470974319220202, 'max_depth': 2, 'subsample': 0.8661375096483415, 'colsample_bytree': 0.7823922417552807, 'min_child_weight': 2}. Best is trial 37 with value: 0.6408169262415516.
Trial 46 finished with value: 0.6455480458419043 and parameters: {'n_estimators': 131, 'learning_rate': 0.11871011427593343, 'max_depth': 4, 'subsample': 0.7473351469103469, 'colsample_bytree': 0.8486188586326966, 'min_child_weight': 1}. Best is trial 46 with value: 0.6455480458419043.
Trial 47 finished with value: 0.6480164560681752 and parameters: {'n_estimators': 96, 'learning_rate': 0.12019599772874691, 'max_depth': 4, 'subsample': 0.7950032538673356, 'colsample_bytree': 0.8517995354862817, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 48 finished with value: 0.6213635027916544 and parameters: {'n_estimators': 79, 'learning_rate': 0.10093253113636291, 'max_depth': 4, 'subsample': 0.7215472726390115, 'colsample_bytree': 0.9101456307838932, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 49 finished with value: 0.6358801057890098 and parameters: {'n_estimators': 93, 'learning_rate': 0.11566912052147986, 'max_depth': 5, 'subsample': 0.7669263392819822, 'colsample_bytree': 0.8638814635646893, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 50 finished with value: 0.5969438730531884 and parameters: {'n_estimators': 91, 'learning_rate': 0.11587547770592324, 'max_depth': 5, 'subsample': 0.8695716481772939, 'colsample_bytree': 0.8775722171298861, 'min_child_weight': 8}. Best is trial 47 with value: 0.6480164560681752.
Trial 51 finished with value: 0.6188657067293565 and parameters: {'n_estimators': 108, 'learning_rate': 0.12105516758697334, 'max_depth': 5, 'subsample': 0.7722611954448346, 'colsample_bytree': 0.8322791963996548, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 52 finished with value: 0.628592418454305 and parameters: {'n_estimators': 89, 'learning_rate': 0.09038426590879566, 'max_depth': 4, 'subsample': 0.7381107057622944, 'colsample_bytree': 0.8510262451439018, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 53 finished with value: 0.6334704672347928 and parameters: {'n_estimators': 131, 'learning_rate': 0.1028484151656926, 'max_depth': 4, 'subsample': 0.7576494536449483, 'colsample_bytree': 0.9402267227795101, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 54 finished with value: 0.6359682632970909 and parameters: {'n_estimators': 117, 'learning_rate': 0.1122364108890581, 'max_depth': 6, 'subsample': 0.7861144114443886, 'colsample_bytree': 0.8067996163728982, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 55 finished with value: 0.6212753452835733 and parameters: {'n_estimators': 112, 'learning_rate': 0.11093868484589246, 'max_depth': 6, 'subsample': 0.8004858099971964, 'colsample_bytree': 0.8174341722612842, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 56 finished with value: 0.6358507199529828 and parameters: {'n_estimators': 81, 'learning_rate': 0.0944492024149035, 'max_depth': 6, 'subsample': 0.8462718917579634, 'colsample_bytree': 0.7965235954941021, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 57 finished with value: 0.6165442256832208 and parameters: {'n_estimators': 96, 'learning_rate': 0.11946622020064912, 'max_depth': 6, 'subsample': 0.9071358536847418, 'colsample_bytree': 0.8849034395713309, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 58 finished with value: 0.6164560681751396 and parameters: {'n_estimators': 118, 'learning_rate': 0.08143500481301806, 'max_depth': 5, 'subsample': 0.7801327917850251, 'colsample_bytree': 0.9450478660130088, 'min_child_weight': 2}. Best is trial 47 with value: 0.6480164560681752.
Trial 59 finished with value: 0.6310314428445489 and parameters: {'n_estimators': 131, 'learning_rate': 0.1070868327766882, 'max_depth': 5, 'subsample': 0.7387711833138312, 'colsample_bytree': 0.7822964132984688, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 60 finished with value: 0.5848956802821041 and parameters: {'n_estimators': 104, 'learning_rate': 0.13367268769333732, 'max_depth': 4, 'subsample': 0.8169855585051167, 'colsample_bytree': 0.8686513507599807, 'min_child_weight': 9}. Best is trial 47 with value: 0.6480164560681752.
Trial 61 finished with value: 0.6188363208933294 and parameters: {'n_estimators': 80, 'learning_rate': 0.09641834153541919, 'max_depth': 6, 'subsample': 0.8402906859599487, 'colsample_bytree': 0.8039615576611864, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 62 finished with value: 0.6140170437848957 and parameters: {'n_estimators': 76, 'learning_rate': 0.1147086421361078, 'max_depth': 6, 'subsample': 0.8659778507036158, 'colsample_bytree': 0.821642328604808, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 63 finished with value: 0.6043197178959742 and parameters: {'n_estimators': 86, 'learning_rate': 0.0885567030338534, 'max_depth': 7, 'subsample': 0.7737180275406488, 'colsample_bytree': 0.7230129492151854, 'min_child_weight': 2}. Best is trial 47 with value: 0.6480164560681752.
Trial 64 finished with value: 0.6139876579488688 and parameters: {'n_estimators': 100, 'learning_rate': 0.10389894349329569, 'max_depth': 7, 'subsample': 0.6987947582376355, 'colsample_bytree': 0.7797358125760925, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 65 finished with value: 0.5970026447252426 and parameters: {'n_estimators': 127, 'learning_rate': 0.11250977436214395, 'max_depth': 8, 'subsample': 0.8396103454767567, 'colsample_bytree': 0.8935219946421677, 'min_child_weight': 2}. Best is trial 47 with value: 0.6480164560681752.
Trial 66 finished with value: 0.5994122832794593 and parameters: {'n_estimators': 94, 'learning_rate': 0.1197660712420604, 'max_depth': 5, 'subsample': 0.6394019474192366, 'colsample_bytree': 0.8579711252759186, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 67 finished with value: 0.5993535116074052 and parameters: {'n_estimators': 118, 'learning_rate': 0.1386570276243521, 'max_depth': 6, 'subsample': 0.7445702885474479, 'colsample_bytree': 0.9480197569849305, 'min_child_weight': 2}. Best is trial 47 with value: 0.6480164560681752.
Trial 68 finished with value: 0.6188069350573024 and parameters: {'n_estimators': 110, 'learning_rate': 0.12634047366266138, 'max_depth': 9, 'subsample': 0.7856833453006701, 'colsample_bytree': 0.7580205251804011, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 69 finished with value: 0.611724948574787 and parameters: {'n_estimators': 87, 'learning_rate': 0.09689837821841975, 'max_depth': 4, 'subsample': 0.81870845532355, 'colsample_bytree': 0.8032939725504061, 'min_child_weight': 2}. Best is trial 47 with value: 0.6480164560681752.
Trial 70 finished with value: 0.5751689685571555 and parameters: {'n_estimators': 84, 'learning_rate': 0.15196716060900609, 'max_depth': 5, 'subsample': 0.935110460708239, 'colsample_bytree': 0.8498214899771541, 'min_child_weight': 10}. Best is trial 47 with value: 0.6480164560681752.
Trial 71 finished with value: 0.6358507199529827 and parameters: {'n_estimators': 151, 'learning_rate': 0.16951486906407176, 'max_depth': 3, 'subsample': 0.696001746038079, 'colsample_bytree': 0.8334451567512275, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 72 finished with value: 0.6382603585071995 and parameters: {'n_estimators': 133, 'learning_rate': 0.13369345412380845, 'max_depth': 3, 'subsample': 0.7045399787392446, 'colsample_bytree': 0.8961267213774294, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 73 finished with value: 0.6359388774610638 and parameters: {'n_estimators': 136, 'learning_rate': 0.13231820451626916, 'max_depth': 4, 'subsample': 0.7533188150746998, 'colsample_bytree': 0.9060920414447956, 'min_child_weight': 1}. Best is trial 47 with value: 0.6480164560681752.
Trial 74 finished with value: 0.652894504848663 and parameters: {'n_estimators': 135, 'learning_rate': 0.13522692246587079, 'max_depth': 3, 'subsample': 0.7296040158056992, 'colsample_bytree': 0.9260377392399874, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 75 finished with value: 0.6164266823391126 and parameters: {'n_estimators': 137, 'learning_rate': 0.13797280898377595, 'max_depth': 3, 'subsample': 0.718872155019065, 'colsample_bytree': 0.9179152732365312, 'min_child_weight': 2}. Best is trial 74 with value: 0.652894504848663.
Trial 76 finished with value: 0.6383485160152806 and parameters: {'n_estimators': 144, 'learning_rate': 0.1463748452923292, 'max_depth': 3, 'subsample': 0.7427021028829142, 'colsample_bytree': 0.9613356691055325, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 77 finished with value: 0.5921539817807817 and parameters: {'n_estimators': 146, 'learning_rate': 0.15175616542305095, 'max_depth': 3, 'subsample': 0.6076243116221794, 'colsample_bytree': 0.9778301268394082, 'min_child_weight': 3}. Best is trial 74 with value: 0.652894504848663.
Trial 78 finished with value: 0.6090508374963268 and parameters: {'n_estimators': 123, 'learning_rate': 0.14512243850793843, 'max_depth': 3, 'subsample': 0.7123722447585878, 'colsample_bytree': 0.9665726875432818, 'min_child_weight': 2}. Best is trial 74 with value: 0.652894504848663.
Trial 79 finished with value: 0.6018513076697032 and parameters: {'n_estimators': 175, 'learning_rate': 0.12467896837874619, 'max_depth': 3, 'subsample': 0.6440602624935278, 'colsample_bytree': 0.9318208843154661, 'min_child_weight': 7}. Best is trial 74 with value: 0.652894504848663.
Trial 80 finished with value: 0.606699970614164 and parameters: {'n_estimators': 114, 'learning_rate': 0.16083018874361607, 'max_depth': 4, 'subsample': 0.6790548737684539, 'colsample_bytree': 0.8910991637108268, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 81 finished with value: 0.6383485160152806 and parameters: {'n_estimators': 134, 'learning_rate': 0.13382611993889343, 'max_depth': 3, 'subsample': 0.7300484461244259, 'colsample_bytree': 0.9668721717445228, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 82 finished with value: 0.6286218042903321 and parameters: {'n_estimators': 131, 'learning_rate': 0.13979423960825532, 'max_depth': 3, 'subsample': 0.7356347955302204, 'colsample_bytree': 0.9610168092877472, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 83 finished with value: 0.6189832500734647 and parameters: {'n_estimators': 144, 'learning_rate': 0.13082736777855095, 'max_depth': 3, 'subsample': 0.7953951241471022, 'colsample_bytree': 0.9276331242565258, 'min_child_weight': 2}. Best is trial 74 with value: 0.652894504848663.
Trial 84 finished with value: 0.6455186600058772 and parameters: {'n_estimators': 126, 'learning_rate': 0.13214651028168795, 'max_depth': 3, 'subsample': 0.6942938068537101, 'colsample_bytree': 0.9912843663564401, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 85 finished with value: 0.6285630326182781 and parameters: {'n_estimators': 157, 'learning_rate': 0.12402109883886693, 'max_depth': 3, 'subsample': 0.6900550439207107, 'colsample_bytree': 0.9937483439743258, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 86 finished with value: 0.6019100793417573 and parameters: {'n_estimators': 125, 'learning_rate': 0.14462734094513144, 'max_depth': 4, 'subsample': 0.649926537301296, 'colsample_bytree': 0.9635867245391176, 'min_child_weight': 2}. Best is trial 74 with value: 0.652894504848663.
Trial 87 finished with value: 0.6359094916250367 and parameters: {'n_estimators': 135, 'learning_rate': 0.13509902534211463, 'max_depth': 3, 'subsample': 0.7036205903408506, 'colsample_bytree': 0.948364979170991, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 88 finished with value: 0.6528357331766088 and parameters: {'n_estimators': 152, 'learning_rate': 0.15302628829348244, 'max_depth': 2, 'subsample': 0.7474596334944889, 'colsample_bytree': 0.9769636079420465, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 89 finished with value: 0.6236555980017632 and parameters: {'n_estimators': 162, 'learning_rate': 0.1557149511523398, 'max_depth': 2, 'subsample': 0.7379218100236246, 'colsample_bytree': 0.9960263565776951, 'min_child_weight': 2}. Best is trial 74 with value: 0.652894504848663.
Trial 90 finished with value: 0.6383191301792537 and parameters: {'n_estimators': 150, 'learning_rate': 0.14780234510493656, 'max_depth': 2, 'subsample': 0.6217075342042813, 'colsample_bytree': 0.9232956231285671, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 91 finished with value: 0.6334998530708199 and parameters: {'n_estimators': 145, 'learning_rate': 0.14913331966820967, 'max_depth': 2, 'subsample': 0.6569222307040968, 'colsample_bytree': 0.9727132904962617, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 92 finished with value: 0.6164854540111666 and parameters: {'n_estimators': 151, 'learning_rate': 0.14236152633597335, 'max_depth': 2, 'subsample': 0.6210862271389346, 'colsample_bytree': 0.9251168785608592, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 93 finished with value: 0.650455480458419 and parameters: {'n_estimators': 178, 'learning_rate': 0.12867589002907792, 'max_depth': 2, 'subsample': 0.7607188405372726, 'colsample_bytree': 0.9780698862765037, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 94 finished with value: 0.6528651190126359 and parameters: {'n_estimators': 140, 'learning_rate': 0.1628480355532447, 'max_depth': 2, 'subsample': 0.7605342376816097, 'colsample_bytree': 0.9778558541157298, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 95 finished with value: 0.6286511901263592 and parameters: {'n_estimators': 141, 'learning_rate': 0.16047260199224384, 'max_depth': 2, 'subsample': 0.761642301281679, 'colsample_bytree': 0.9762709821592562, 'min_child_weight': 2}. Best is trial 74 with value: 0.652894504848663.
Trial 96 finished with value: 0.6505730238025272 and parameters: {'n_estimators': 124, 'learning_rate': 0.1280201709241631, 'max_depth': 2, 'subsample': 0.8072614884156698, 'colsample_bytree': 0.9999044533752276, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 97 finished with value: 0.6432559506317955 and parameters: {'n_estimators': 121, 'learning_rate': 0.12685282707412968, 'max_depth': 2, 'subsample': 0.8095985350211558, 'colsample_bytree': 0.9987869995320529, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 98 finished with value: 0.5896855715545107 and parameters: {'n_estimators': 105, 'learning_rate': 0.12677795247287887, 'max_depth': 2, 'subsample': 0.8058188417181209, 'colsample_bytree': 0.9962700731610034, 'min_child_weight': 6}. Best is trial 74 with value: 0.652894504848663.
Trial 99 finished with value: 0.6456068175139583 and parameters: {'n_estimators': 124, 'learning_rate': 0.11689333314727202, 'max_depth': 2, 'subsample': 0.7775609305162331, 'colsample_bytree': 0.9447502225239224, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
Trial 100 finished with value: 0.6504848662944461 and parameters: {'n_estimators': 122, 'learning_rate': 0.1188409361576438, 'max_depth': 2, 'subsample': 0.7844758435397514, 'colsample_bytree': 0.9379953382525537, 'min_child_weight': 1}. Best is trial 74 with value: 0.652894504848663.
