A new study created in memory with name: no-name-766e1d2f-73fa-47ed-9622-e06157c0b22c
Start optimization.
Trial 0 finished with value: 0.5751190476190475 and parameters: {'learning_rate': 0.07209173395251434, 'max_depth': 8, 'subsample': 0.4518946352650511, 'colsample_bytree': 0.41836847517184717, 'min_child_weight': 12}. Best is trial 0 with value: 0.5751190476190475.
Trial 11 finished with value: 0.6504761904761904 and parameters: {'learning_rate': 0.0010643902355443966, 'max_depth': 7, 'subsample': 0.6847166377987058, 'colsample_bytree': 0.2733453489427015, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 12 finished with value: 0.6504761904761904 and parameters: {'learning_rate': 0.0010046045866898615, 'max_depth': 5, 'subsample': 0.7629220221319438, 'colsample_bytree': 0.30859951133830577, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 13 finished with value: 0.6189285714285715 and parameters: {'learning_rate': 0.0022842994835396637, 'max_depth': 8, 'subsample': 0.746217444165626, 'colsample_bytree': 0.33835412869411996, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 14 finished with value: 0.6092857142857142 and parameters: {'learning_rate': 0.0028904702025485435, 'max_depth': 7, 'subsample': 0.9881600357016525, 'colsample_bytree': 0.2634327317854968, 'min_child_weight': 4}. Best is trial 10 with value: 0.6579761904761904.
Trial 15 finished with value: 0.556547619047619 and parameters: {'learning_rate': 0.0010056967640017015, 'max_depth': 4, 'subsample': 0.5794173270850979, 'colsample_bytree': 0.08348588401673801, 'min_child_weight': 17}. Best is trial 10 with value: 0.6579761904761904.
Trial 16 finished with value: 0.5945238095238097 and parameters: {'learning_rate': 0.0062888109549346, 'max_depth': 10, 'subsample': 0.7684628328876573, 'colsample_bytree': 0.3824561856693824, 'min_child_weight': 7}. Best is trial 10 with value: 0.6579761904761904.
Trial 17 finished with value: 0.5970238095238094 and parameters: {'learning_rate': 0.0021074151259904083, 'max_depth': 1, 'subsample': 0.8572512301252918, 'colsample_bytree': 0.25202695855634244, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 18 finished with value: 0.6458333333333333 and parameters: {'learning_rate': 0.003735732655115654, 'max_depth': 8, 'subsample': 0.6696310820239948, 'colsample_bytree': 0.41275072656150436, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 19 finished with value: 0.5653571428571429 and parameters: {'learning_rate': 0.007834384516096426, 'max_depth': 7, 'subsample': 0.5510595263068022, 'colsample_bytree': 0.17557143706168815, 'min_child_weight': 10}. Best is trial 10 with value: 0.6579761904761904.
Trial 20 finished with value: 0.5947619047619048 and parameters: {'learning_rate': 0.001712562467310416, 'max_depth': 9, 'subsample': 0.8698279083384635, 'colsample_bytree': 0.050927408274857394, 'min_child_weight': 4}. Best is trial 10 with value: 0.6579761904761904.
Trial 21 finished with value: 0.6480952380952381 and parameters: {'learning_rate': 0.0010808435307357756, 'max_depth': 5, 'subsample': 0.7502143398952942, 'colsample_bytree': 0.3084512764972107, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 22 finished with value: 0.6430952380952382 and parameters: {'learning_rate': 0.001310431979463994, 'max_depth': 4, 'subsample': 0.6871637212110614, 'colsample_bytree': 0.3098194778454001, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 23 finished with value: 0.5996428571428571 and parameters: {'learning_rate': 0.0016749285310936907, 'max_depth': 6, 'subsample': 0.7835866927835551, 'colsample_bytree': 0.23333840383576834, 'min_child_weight': 6}. Best is trial 10 with value: 0.6579761904761904.
Trial 24 finished with value: 0.6186904761904762 and parameters: {'learning_rate': 0.001040364042176228, 'max_depth': 5, 'subsample': 0.6812044335041711, 'colsample_bytree': 0.35463070927528156, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 25 finished with value: 0.6553571428571427 and parameters: {'learning_rate': 0.0030130666718054017, 'max_depth': 7, 'subsample': 0.8256967801095, 'colsample_bytree': 0.4562252153129147, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 26 finished with value: 0.6070238095238095 and parameters: {'learning_rate': 0.0029355437521304075, 'max_depth': 7, 'subsample': 0.9983317493105621, 'colsample_bytree': 0.44782660055692325, 'min_child_weight': 5}. Best is trial 10 with value: 0.6579761904761904.
Trial 27 finished with value: 0.6288095238095239 and parameters: {'learning_rate': 0.002088513080244739, 'max_depth': 9, 'subsample': 0.8456447326066623, 'colsample_bytree': 0.49434671277984515, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 28 finished with value: 0.5850000000000001 and parameters: {'learning_rate': 0.0038934212345067584, 'max_depth': 8, 'subsample': 0.6007143473936127, 'colsample_bytree': 0.3771011074443994, 'min_child_weight': 16}. Best is trial 10 with value: 0.6579761904761904.
Trial 29 finished with value: 0.6432142857142857 and parameters: {'learning_rate': 0.0014847047520642972, 'max_depth': 7, 'subsample': 0.9199376942920959, 'colsample_bytree': 0.42600965323571904, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 30 finished with value: 0.5871428571428572 and parameters: {'learning_rate': 0.002703778155139294, 'max_depth': 6, 'subsample': 0.4843714678294658, 'colsample_bytree': 0.14547927266513244, 'min_child_weight': 7}. Best is trial 10 with value: 0.6579761904761904.
Trial 31 finished with value: 0.6530952380952381 and parameters: {'learning_rate': 0.0013199146695802083, 'max_depth': 8, 'subsample': 0.8006682124297501, 'colsample_bytree': 0.29059887178281885, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 32 finished with value: 0.6432142857142857 and parameters: {'learning_rate': 0.0017594377778912787, 'max_depth': 8, 'subsample': 0.8055770695147103, 'colsample_bytree': 0.25814529953182314, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 33 finished with value: 0.5925 and parameters: {'learning_rate': 0.0013744991080504232, 'max_depth': 8, 'subsample': 0.7190059039355172, 'colsample_bytree': 0.3898239239793364, 'min_child_weight': 4}. Best is trial 10 with value: 0.6579761904761904.
Trial 34 finished with value: 0.6479761904761905 and parameters: {'learning_rate': 0.001340751642602037, 'max_depth': 9, 'subsample': 0.8119784308393521, 'colsample_bytree': 0.22503649503293727, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 35 finished with value: 0.5973809523809523 and parameters: {'learning_rate': 0.001958005080472856, 'max_depth': 7, 'subsample': 0.6352615502816655, 'colsample_bytree': 0.3128040831096426, 'min_child_weight': 5}. Best is trial 10 with value: 0.6579761904761904.
Trial 36 finished with value: 0.5873809523809524 and parameters: {'learning_rate': 0.002544257969902554, 'max_depth': 6, 'subsample': 0.9195579741277481, 'colsample_bytree': 0.12740449414678146, 'min_child_weight': 12}. Best is trial 10 with value: 0.6579761904761904.
Trial 37 finished with value: 0.6333333333333335 and parameters: {'learning_rate': 0.0014189418389130711, 'max_depth': 7, 'subsample': 0.719018837332324, 'colsample_bytree': 0.4711176110336742, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 38 finished with value: 0.6115476190476191 and parameters: {'learning_rate': 0.0033706751840071733, 'max_depth': 6, 'subsample': 0.8175632036681476, 'colsample_bytree': 0.2813056031960133, 'min_child_weight': 4}. Best is trial 10 with value: 0.6579761904761904.
Trial 39 finished with value: 0.5823809523809524 and parameters: {'learning_rate': 0.002030436900852245, 'max_depth': 9, 'subsample': 0.6214988166186823, 'colsample_bytree': 0.19553777955061907, 'min_child_weight': 14}. Best is trial 10 with value: 0.6579761904761904.
Trial 40 finished with value: 0.6411904761904762 and parameters: {'learning_rate': 0.004705104290722475, 'max_depth': 8, 'subsample': 0.6964901998279447, 'colsample_bytree': 0.5336765118730575, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 41 finished with value: 0.6457142857142857 and parameters: {'learning_rate': 0.0011891915849036652, 'max_depth': 5, 'subsample': 0.7559963205592021, 'colsample_bytree': 0.3367524335596988, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 42 finished with value: 0.6553571428571427 and parameters: {'learning_rate': 0.0011904574823215933, 'max_depth': 4, 'subsample': 0.8832221439575441, 'colsample_bytree': 0.2191690752776542, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 43 finished with value: 0.6454761904761905 and parameters: {'learning_rate': 0.001597305846588101, 'max_depth': 3, 'subsample': 0.8826374730029934, 'colsample_bytree': 0.2099150335323337, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 44 finished with value: 0.6210714285714285 and parameters: {'learning_rate': 0.0012428567367488673, 'max_depth': 7, 'subsample': 0.8327598282417374, 'colsample_bytree': 0.1541908035441472, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 45 finished with value: 0.5867857142857144 and parameters: {'learning_rate': 0.002403354342000546, 'max_depth': 4, 'subsample': 0.7978032408499387, 'colsample_bytree': 0.2697907800696496, 'min_child_weight': 20}. Best is trial 10 with value: 0.6579761904761904.
Trial 46 finished with value: 0.6503571428571429 and parameters: {'learning_rate': 0.001769525774746661, 'max_depth': 3, 'subsample': 0.9533307367536918, 'colsample_bytree': 0.2106226605143252, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 47 finished with value: 0.6141666666666667 and parameters: {'learning_rate': 0.0010138315844091578, 'max_depth': 4, 'subsample': 0.8846373705041076, 'colsample_bytree': 0.3521885040146749, 'min_child_weight': 6}. Best is trial 10 with value: 0.6579761904761904.
Trial 48 finished with value: 0.5777380952380953 and parameters: {'learning_rate': 0.0012511925109789186, 'max_depth': 6, 'subsample': 0.641337241079637, 'colsample_bytree': 0.12781984597118706, 'min_child_weight': 9}. Best is trial 10 with value: 0.6579761904761904.
Trial 49 finished with value: 0.6335714285714287 and parameters: {'learning_rate': 0.00229315981516442, 'max_depth': 2, 'subsample': 0.7150906992062105, 'colsample_bytree': 0.40646327751821903, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 50 finished with value: 0.5996428571428571 and parameters: {'learning_rate': 0.0014583148945502894, 'max_depth': 10, 'subsample': 0.7791648562836364, 'colsample_bytree': 0.27889679383362037, 'min_child_weight': 5}. Best is trial 10 with value: 0.6579761904761904.
Trial 51 finished with value: 0.6478571428571429 and parameters: {'learning_rate': 0.0010299898873043004, 'max_depth': 5, 'subsample': 0.7399562199880421, 'colsample_bytree': 0.2394716968023087, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 52 finished with value: 0.6532142857142856 and parameters: {'learning_rate': 0.0011967573519126775, 'max_depth': 6, 'subsample': 0.7789949003912668, 'colsample_bytree': 0.30688626001164887, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 53 finished with value: 0.6334523809523811 and parameters: {'learning_rate': 0.0017437682813294688, 'max_depth': 6, 'subsample': 0.8318216215525516, 'colsample_bytree': 0.19117475620989904, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 54 finished with value: 0.650595238095238 and parameters: {'learning_rate': 0.0014970897309821108, 'max_depth': 7, 'subsample': 0.8796121813551068, 'colsample_bytree': 0.2915615946008126, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 55 finished with value: 0.6141666666666667 and parameters: {'learning_rate': 0.001957126414360008, 'max_depth': 7, 'subsample': 0.8855588655839459, 'colsample_bytree': 0.36547445424364894, 'min_child_weight': 4}. Best is trial 10 with value: 0.6579761904761904.
Trial 56 finished with value: 0.6553571428571427 and parameters: {'learning_rate': 0.0015795534894353313, 'max_depth': 8, 'subsample': 0.9299337517202576, 'colsample_bytree': 0.3126515027845383, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 57 finished with value: 0.6288095238095239 and parameters: {'learning_rate': 0.0023873038223640687, 'max_depth': 8, 'subsample': 0.9506841847354641, 'colsample_bytree': 0.34480680940761155, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 58 finished with value: 0.6430952380952382 and parameters: {'learning_rate': 0.0012800713713982488, 'max_depth': 8, 'subsample': 0.9127380858883417, 'colsample_bytree': 0.3183682382837924, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 59 finished with value: 0.6434523809523809 and parameters: {'learning_rate': 0.0029815564872799254, 'max_depth': 8, 'subsample': 0.9634303646451805, 'colsample_bytree': 0.4339817085415891, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 60 finished with value: 0.6455952380952381 and parameters: {'learning_rate': 0.001219583007900189, 'max_depth': 9, 'subsample': 0.8339198685202414, 'colsample_bytree': 0.2404297716551164, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 61 finished with value: 0.6553571428571427 and parameters: {'learning_rate': 0.0016442233927751453, 'max_depth': 7, 'subsample': 0.8613044408580297, 'colsample_bytree': 0.2991083091340156, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 62 finished with value: 0.6433333333333333 and parameters: {'learning_rate': 0.001571159260619413, 'max_depth': 6, 'subsample': 0.8533806426773511, 'colsample_bytree': 0.3878357440184018, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 63 finished with value: 0.650595238095238 and parameters: {'learning_rate': 0.0018720834515852244, 'max_depth': 7, 'subsample': 0.7947851984018708, 'colsample_bytree': 0.3023160835341715, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 64 finished with value: 0.650595238095238 and parameters: {'learning_rate': 0.002151447358789344, 'max_depth': 7, 'subsample': 0.9062759342447304, 'colsample_bytree': 0.25083001433476737, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 65 finished with value: 0.5947619047619048 and parameters: {'learning_rate': 0.0016071221262511392, 'max_depth': 8, 'subsample': 0.7746411441823974, 'colsample_bytree': 0.3257293856833624, 'min_child_weight': 4}. Best is trial 10 with value: 0.6579761904761904.
Trial 66 finished with value: 0.653095238095238 and parameters: {'learning_rate': 0.0011862067635791244, 'max_depth': 7, 'subsample': 0.8511386395695669, 'colsample_bytree': 0.28494507822256815, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 67 finished with value: 0.6404761904761905 and parameters: {'learning_rate': 0.0011191652452613014, 'max_depth': 6, 'subsample': 0.9789978241606643, 'colsample_bytree': 0.3641002987125545, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 68 finished with value: 0.5822619047619048 and parameters: {'learning_rate': 0.0014088245946343927, 'max_depth': 8, 'subsample': 0.9389006572887004, 'colsample_bytree': 0.17593289110572177, 'min_child_weight': 17}. Best is trial 10 with value: 0.6579761904761904.
Trial 69 finished with value: 0.6482142857142856 and parameters: {'learning_rate': 0.00270253212461855, 'max_depth': 6, 'subsample': 0.9045943020379359, 'colsample_bytree': 0.222433214149496, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 70 finished with value: 0.6575 and parameters: {'learning_rate': 0.0018299132142161893, 'max_depth': 9, 'subsample': 0.8636993595280704, 'colsample_bytree': 0.3988852889492596, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 71 finished with value: 0.6553571428571429 and parameters: {'learning_rate': 0.0019262511481040476, 'max_depth': 9, 'subsample': 0.8626866922696926, 'colsample_bytree': 0.3364579287580607, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 72 finished with value: 0.6428571428571428 and parameters: {'learning_rate': 0.0018732171063093736, 'max_depth': 9, 'subsample': 0.9348198057257745, 'colsample_bytree': 0.41626984001088285, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 73 finished with value: 0.6555952380952381 and parameters: {'learning_rate': 0.002287322319246247, 'max_depth': 9, 'subsample': 0.8599260647670542, 'colsample_bytree': 0.4651043860038776, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 74 finished with value: 0.6507142857142857 and parameters: {'learning_rate': 0.0022259394081844464, 'max_depth': 9, 'subsample': 0.8653592318686384, 'colsample_bytree': 0.4589579137243466, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 75 finished with value: 0.6360714285714286 and parameters: {'learning_rate': 0.0026848078479783924, 'max_depth': 10, 'subsample': 0.9915279017685725, 'colsample_bytree': 0.40392326423806524, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 76 finished with value: 0.585 and parameters: {'learning_rate': 0.003229499834528572, 'max_depth': 9, 'subsample': 0.8273332602973716, 'colsample_bytree': 0.49636139857404576, 'min_child_weight': 11}. Best is trial 10 with value: 0.6579761904761904.
Trial 77 finished with value: 0.6360714285714286 and parameters: {'learning_rate': 0.002007903493519325, 'max_depth': 10, 'subsample': 0.8975128945229287, 'colsample_bytree': 0.44319383200163454, 'min_child_weight': 3}. Best is trial 10 with value: 0.6579761904761904.
Trial 78 finished with value: 0.6383333333333334 and parameters: {'learning_rate': 0.0016160106818325335, 'max_depth': 10, 'subsample': 0.8560121804059806, 'colsample_bytree': 0.3843280451365494, 'min_child_weight': 2}. Best is trial 10 with value: 0.6579761904761904.
Trial 79 finished with value: 0.6190476190476192 and parameters: {'learning_rate': 0.0024807217161918636, 'max_depth': 9, 'subsample': 0.927980748362157, 'colsample_bytree': 0.4969705909550214, 'min_child_weight': 4}. Best is trial 10 with value: 0.6579761904761904.
Trial 80 finished with value: 0.6452380952380952 and parameters: {'learning_rate': 0.0016473462360207414, 'max_depth': 9, 'subsample': 0.8645544905898087, 'colsample_bytree': 0.5550674261537105, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
Trial 81 finished with value: 0.6604761904761904 and parameters: {'learning_rate': 0.0018415995625635686, 'max_depth': 8, 'subsample': 0.8223653635821457, 'colsample_bytree': 0.3329159254586385, 'min_child_weight': 1}. Best is trial 81 with value: 0.6604761904761904.
Trial 82 finished with value: 0.6433333333333333 and parameters: {'learning_rate': 0.0021896748896924455, 'max_depth': 8, 'subsample': 0.8084255203737382, 'colsample_bytree': 0.3395825656165507, 'min_child_weight': 2}. Best is trial 81 with value: 0.6604761904761904.
Trial 83 finished with value: 0.6502380952380953 and parameters: {'learning_rate': 0.0018787057120497645, 'max_depth': 8, 'subsample': 0.8882272898117821, 'colsample_bytree': 0.3728791000962277, 'min_child_weight': 1}. Best is trial 81 with value: 0.6604761904761904.
Trial 84 finished with value: 0.6507142857142856 and parameters: {'learning_rate': 0.0015055715959555783, 'max_depth': 9, 'subsample': 0.8267520126978273, 'colsample_bytree': 0.2578580402068356, 'min_child_weight': 1}. Best is trial 81 with value: 0.6604761904761904.
Trial 85 finished with value: 0.6239285714285714 and parameters: {'learning_rate': 0.0018059810580773085, 'max_depth': 2, 'subsample': 0.9050846281037291, 'colsample_bytree': 0.3348603997700967, 'min_child_weight': 2}. Best is trial 81 with value: 0.6604761904761904.
Trial 86 finished with value: 0.6575 and parameters: {'learning_rate': 0.0021165598790777924, 'max_depth': 9, 'subsample': 0.9660885509932424, 'colsample_bytree': 0.425564732197236, 'min_child_weight': 1}. Best is trial 81 with value: 0.6604761904761904.
Trial 87 finished with value: 0.6360714285714286 and parameters: {'learning_rate': 0.002505199196136461, 'max_depth': 10, 'subsample': 0.9589511732005485, 'colsample_bytree': 0.4267023933547247, 'min_child_weight': 3}. Best is trial 81 with value: 0.6604761904761904.
Trial 88 finished with value: 0.6529761904761905 and parameters: {'learning_rate': 0.0021118496342026776, 'max_depth': 9, 'subsample': 0.9243144107140691, 'colsample_bytree': 0.47565808689807354, 'min_child_weight': 2}. Best is trial 81 with value: 0.6604761904761904.
Trial 89 finished with value: 0.6579761904761904 and parameters: {'learning_rate': 0.002995164728280804, 'max_depth': 3, 'subsample': 0.9756396089495434, 'colsample_bytree': 0.3946141451686277, 'min_child_weight': 1}. Best is trial 81 with value: 0.6604761904761904.
Trial 90 finished with value: 0.6628571428571428 and parameters: {'learning_rate': 0.00371688360687774, 'max_depth': 4, 'subsample': 0.9687082219246242, 'colsample_bytree': 0.4024375069190184, 'min_child_weight': 2}. Best is trial 90 with value: 0.6628571428571428.
Trial 91 finished with value: 0.6675 and parameters: {'learning_rate': 0.0035789961840778394, 'max_depth': 3, 'subsample': 0.9838636715979902, 'colsample_bytree': 0.40598641186729617, 'min_child_weight': 2}. Best is trial 91 with value: 0.6675.
Trial 92 finished with value: 0.6626190476190476 and parameters: {'learning_rate': 0.0037309282559761, 'max_depth': 3, 'subsample': 0.9828169079713488, 'colsample_bytree': 0.40183052222608906, 'min_child_weight': 2}. Best is trial 91 with value: 0.6675.
Trial 93 finished with value: 0.6116666666666666 and parameters: {'learning_rate': 0.003677126470032318, 'max_depth': 3, 'subsample': 0.9710261281091818, 'colsample_bytree': 0.39816956885702637, 'min_child_weight': 5}. Best is trial 91 with value: 0.6675.
Trial 94 finished with value: 0.6532142857142856 and parameters: {'learning_rate': 0.0042939568837739375, 'max_depth': 2, 'subsample': 0.9832877291229771, 'colsample_bytree': 0.41957818314576106, 'min_child_weight': 3}. Best is trial 91 with value: 0.6675.
Trial 95 finished with value: 0.6430952380952382 and parameters: {'learning_rate': 0.003357878237377547, 'max_depth': 3, 'subsample': 0.9961966158343797, 'colsample_bytree': 0.4422748699879322, 'min_child_weight': 4}. Best is trial 91 with value: 0.6675.
Trial 96 finished with value: 0.6602380952380951 and parameters: {'learning_rate': 0.002910168966444265, 'max_depth': 3, 'subsample': 0.95051873240861, 'colsample_bytree': 0.3554661412011434, 'min_child_weight': 2}. Best is trial 91 with value: 0.6675.
Trial 97 finished with value: 0.662738095238095 and parameters: {'learning_rate': 0.002801184787632984, 'max_depth': 3, 'subsample': 0.9517514387030749, 'colsample_bytree': 0.3620405311273406, 'min_child_weight': 2}. Best is trial 91 with value: 0.6675.
Trial 98 finished with value: 0.6044047619047619 and parameters: {'learning_rate': 0.002946001993531366, 'max_depth': 3, 'subsample': 0.9572516843113835, 'colsample_bytree': 0.3603653446310091, 'min_child_weight': 7}. Best is trial 91 with value: 0.6675.
Trial 99 finished with value: 0.638452380952381 and parameters: {'learning_rate': 0.005354549524368363, 'max_depth': 4, 'subsample': 0.9776004058912481, 'colsample_bytree': 0.3841723305959486, 'min_child_weight': 3}. Best is trial 91 with value: 0.6675.
Trial 100 finished with value: 0.6165476190476189 and parameters: {'learning_rate': 0.003719078658220966, 'max_depth': 2, 'subsample': 0.9475778546699701, 'colsample_bytree': 0.4056548001091789, 'min_child_weight': 6}. Best is trial 91 with value: 0.6675.
Trial 101 finished with value: 0.6652380952380951 and parameters: {'learning_rate': 0.0027280245500504088, 'max_depth': 3, 'subsample': 0.9960966088228765, 'colsample_bytree': 0.35423238414776986, 'min_child_weight': 2}. Best is trial 91 with value: 0.6675.
Trial 102 finished with value: 0.6627380952380952 and parameters: {'learning_rate': 0.0031487392813492345, 'max_depth': 3, 'subsample': 0.9933629733511202, 'colsample_bytree': 0.36040520569083745, 'min_child_weight': 2}. Best is trial 91 with value: 0.6675.
Trial 103 finished with value: 0.6602380952380952 and parameters: {'learning_rate': 0.0032274183117420013, 'max_depth': 3, 'subsample': 0.9914721307673838, 'colsample_bytree': 0.3682247536511358, 'min_child_weight': 2}. Best is trial 91 with value: 0.6675.
Trial 104 finished with value: 0.6676190476190477 and parameters: {'learning_rate': 0.004036611532247269, 'max_depth': 3, 'subsample': 0.998235763272105, 'colsample_bytree': 0.3562977960515946, 'min_child_weight': 2}. Best is trial 104 with value: 0.6676190476190477.
Trial 105 finished with value: 0.6409523809523808 and parameters: {'learning_rate': 0.004029967403845875, 'max_depth': 3, 'subsample': 0.9913904798133925, 'colsample_bytree': 0.37273122279187815, 'min_child_weight': 3}. Best is trial 104 with value: 0.6676190476190477.
Trial 106 finished with value: 0.6383333333333333 and parameters: {'learning_rate': 0.003484778536960301, 'max_depth': 2, 'subsample': 0.942074115586913, 'colsample_bytree': 0.3641630417356042, 'min_child_weight': 4}. Best is trial 104 with value: 0.6676190476190477.
Trial 107 finished with value: 0.6554761904761903 and parameters: {'learning_rate': 0.0032048271852365843, 'max_depth': 4, 'subsample': 0.9618165658353692, 'colsample_bytree': 0.35692933545063377, 'min_child_weight': 2}. Best is trial 104 with value: 0.6676190476190477.
Trial 108 finished with value: 0.6457142857142857 and parameters: {'learning_rate': 0.004559670745434134, 'max_depth': 3, 'subsample': 0.9974065590257507, 'colsample_bytree': 0.3327031921950332, 'min_child_weight': 3}. Best is trial 104 with value: 0.6676190476190477.
Trial 109 finished with value: 0.67 and parameters: {'learning_rate': 0.004005074756499842, 'max_depth': 3, 'subsample': 0.9972399130875599, 'colsample_bytree': 0.3200238478565524, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
