A new study created in memory with name: no-name-9979e359-8e66-4d74-a292-d091b188a7d7
Start optimization.
Trial 0 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 1197, 'max_depth': 1422, 'min_samples_split': 2, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 0 with value: 0.5819047619047618.
Trial 11 finished with value: 0.5871428571428572 and parameters: {'n_estimators': 1985, 'max_depth': 2041, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 11 with value: 0.5871428571428572.
Trial 12 finished with value: 0.5919047619047618 and parameters: {'n_estimators': 2002, 'max_depth': 2007, 'min_samples_split': 16, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 12 with value: 0.5919047619047618.
Trial 13 finished with value: 0.5621428571428573 and parameters: {'n_estimators': 990, 'max_depth': 2035, 'min_samples_split': 16, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 12 with value: 0.5919047619047618.
Trial 14 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 1765, 'max_depth': 1603, 'min_samples_split': 13, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 12 with value: 0.5919047619047618.
Trial 15 finished with value: 0.5792857142857144 and parameters: {'n_estimators': 1642, 'max_depth': 1584, 'min_samples_split': 12, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 12 with value: 0.5919047619047618.
Trial 16 finished with value: 0.5767857142857142 and parameters: {'n_estimators': 1018, 'max_depth': 1293, 'min_samples_split': 13, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 12 with value: 0.5919047619047618.
Trial 17 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 1385, 'max_depth': 80, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 12 with value: 0.5919047619047618.
Trial 18 finished with value: 0.5770238095238095 and parameters: {'n_estimators': 1835, 'max_depth': 1768, 'min_samples_split': 14, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 12 with value: 0.5919047619047618.
Trial 19 finished with value: 0.5920238095238096 and parameters: {'n_estimators': 1479, 'max_depth': 1784, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 20 finished with value: 0.5770238095238096 and parameters: {'n_estimators': 790, 'max_depth': 1821, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 21 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 1489, 'max_depth': 1502, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 22 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 1778, 'max_depth': 1191, 'min_samples_split': 16, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 23 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 1234, 'max_depth': 1766, 'min_samples_split': 13, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 24 finished with value: 0.5770238095238095 and parameters: {'n_estimators': 1570, 'max_depth': 1670, 'min_samples_split': 9, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 25 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 1833, 'max_depth': 1906, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 26 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 1897, 'max_depth': 1381, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 27 finished with value: 0.591547619047619 and parameters: {'n_estimators': 1247, 'max_depth': 1074, 'min_samples_split': 14, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 28 finished with value: 0.5816666666666668 and parameters: {'n_estimators': 1422, 'max_depth': 1877, 'min_samples_split': 12, 'min_samples_leaf': 6, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 29 finished with value: 0.5767857142857141 and parameters: {'n_estimators': 2036, 'max_depth': 1475, 'min_samples_split': 16, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 30 finished with value: 0.5744047619047619 and parameters: {'n_estimators': 1668, 'max_depth': 1688, 'min_samples_split': 13, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 31 finished with value: 0.5696428571428571 and parameters: {'n_estimators': 1275, 'max_depth': 1106, 'min_samples_split': 14, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 32 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1251, 'max_depth': 782, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 33 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1561, 'max_depth': 1304, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 34 finished with value: 0.5789285714285713 and parameters: {'n_estimators': 1107, 'max_depth': 1528, 'min_samples_split': 14, 'min_samples_leaf': 4, 'criterion': 'gini'}. Best is trial 19 with value: 0.5920238095238096.
Trial 35 finished with value: 0.5745238095238097 and parameters: {'n_estimators': 884, 'max_depth': 667, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 19 with value: 0.5920238095238096.
Trial 36 finished with value: 0.5672619047619047 and parameters: {'n_estimators': 1661, 'max_depth': 1911, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 37 finished with value: 0.5797619047619048 and parameters: {'n_estimators': 310, 'max_depth': 1397, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 38 finished with value: 0.5719047619047619 and parameters: {'n_estimators': 1125, 'max_depth': 88, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 19 with value: 0.5920238095238096.
Trial 39 finished with value: 0.5767857142857143 and parameters: {'n_estimators': 1479, 'max_depth': 1058, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 40 finished with value: 0.5620238095238095 and parameters: {'n_estimators': 1763, 'max_depth': 1692, 'min_samples_split': 13, 'min_samples_leaf': 6, 'criterion': 'gini'}. Best is trial 19 with value: 0.5920238095238096.
Trial 41 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 1948, 'max_depth': 2040, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 42 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 1918, 'max_depth': 1953, 'min_samples_split': 16, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 43 finished with value: 0.5770238095238096 and parameters: {'n_estimators': 2037, 'max_depth': 2048, 'min_samples_split': 15, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 44 finished with value: 0.5720238095238096 and parameters: {'n_estimators': 1314, 'max_depth': 1826, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 45 finished with value: 0.5720238095238096 and parameters: {'n_estimators': 1609, 'max_depth': 1575, 'min_samples_split': 16, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 46 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 1709, 'max_depth': 237, 'min_samples_split': 12, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 47 finished with value: 0.5870238095238096 and parameters: {'n_estimators': 1852, 'max_depth': 1761, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 48 finished with value: 0.5817857142857144 and parameters: {'n_estimators': 1968, 'max_depth': 1953, 'min_samples_split': 13, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 49 finished with value: 0.5622619047619047 and parameters: {'n_estimators': 1773, 'max_depth': 639, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 19 with value: 0.5920238095238096.
Trial 50 finished with value: 0.5796428571428572 and parameters: {'n_estimators': 1471, 'max_depth': 884, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 51 finished with value: 0.5895238095238097 and parameters: {'n_estimators': 1841, 'max_depth': 1766, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 52 finished with value: 0.5792857142857144 and parameters: {'n_estimators': 1839, 'max_depth': 1835, 'min_samples_split': 16, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 53 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1977, 'max_depth': 1624, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 54 finished with value: 0.5846428571428572 and parameters: {'n_estimators': 1698, 'max_depth': 1721, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 55 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 1359, 'max_depth': 1984, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 56 finished with value: 0.5792857142857143 and parameters: {'n_estimators': 1879, 'max_depth': 1854, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 57 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 1152, 'max_depth': 1638, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 58 finished with value: 0.5841666666666667 and parameters: {'n_estimators': 1791, 'max_depth': 1189, 'min_samples_split': 16, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 59 finished with value: 0.5796428571428572 and parameters: {'n_estimators': 1603, 'max_depth': 1976, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 60 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 1989, 'max_depth': 1785, 'min_samples_split': 3, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 61 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 1834, 'max_depth': 1903, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 62 finished with value: 0.5770238095238096 and parameters: {'n_estimators': 1870, 'max_depth': 1738, 'min_samples_split': 16, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 63 finished with value: 0.5920238095238096 and parameters: {'n_estimators': 1526, 'max_depth': 1439, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 64 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 1516, 'max_depth': 1463, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 65 finished with value: 0.5916666666666667 and parameters: {'n_estimators': 1521, 'max_depth': 1276, 'min_samples_split': 14, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 66 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1403, 'max_depth': 1362, 'min_samples_split': 13, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 67 finished with value: 0.5794047619047619 and parameters: {'n_estimators': 1193, 'max_depth': 1237, 'min_samples_split': 12, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 68 finished with value: 0.5667857142857142 and parameters: {'n_estimators': 1325, 'max_depth': 1576, 'min_samples_split': 11, 'min_samples_leaf': 4, 'criterion': 'gini'}. Best is trial 19 with value: 0.5920238095238096.
Trial 69 finished with value: 0.569047619047619 and parameters: {'n_estimators': 1447, 'max_depth': 1122, 'min_samples_split': 10, 'min_samples_leaf': 8, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 70 finished with value: 0.5792857142857143 and parameters: {'n_estimators': 1058, 'max_depth': 1294, 'min_samples_split': 14, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 71 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 1535, 'max_depth': 1441, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 72 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1511, 'max_depth': 1525, 'min_samples_split': 13, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 73 finished with value: 0.584404761904762 and parameters: {'n_estimators': 1619, 'max_depth': 1459, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 74 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 1571, 'max_depth': 1010, 'min_samples_split': 8, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 75 finished with value: 0.591547619047619 and parameters: {'n_estimators': 1741, 'max_depth': 1360, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 76 finished with value: 0.584404761904762 and parameters: {'n_estimators': 1732, 'max_depth': 1357, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 77 finished with value: 0.5717857142857142 and parameters: {'n_estimators': 1702, 'max_depth': 1202, 'min_samples_split': 16, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 78 finished with value: 0.574404761904762 and parameters: {'n_estimators': 1660, 'max_depth': 950, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 79 finished with value: 0.5695238095238095 and parameters: {'n_estimators': 624, 'max_depth': 1102, 'min_samples_split': 13, 'min_samples_leaf': 3, 'criterion': 'gini'}. Best is trial 19 with value: 0.5920238095238096.
Trial 80 finished with value: 0.5742857142857144 and parameters: {'n_estimators': 1399, 'max_depth': 1264, 'min_samples_split': 15, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 81 finished with value: 0.5821428571428571 and parameters: {'n_estimators': 892, 'max_depth': 1502, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 82 finished with value: 0.5892857142857143 and parameters: {'n_estimators': 1522, 'max_depth': 1327, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 83 finished with value: 0.576904761904762 and parameters: {'n_estimators': 1914, 'max_depth': 1396, 'min_samples_split': 16, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 84 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 1796, 'max_depth': 1306, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 85 finished with value: 0.5865476190476191 and parameters: {'n_estimators': 1439, 'max_depth': 1169, 'min_samples_split': 13, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 86 finished with value: 0.5642857142857143 and parameters: {'n_estimators': 1285, 'max_depth': 1328, 'min_samples_split': 15, 'min_samples_leaf': 7, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 87 finished with value: 0.5691666666666666 and parameters: {'n_estimators': 359, 'max_depth': 1588, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 88 finished with value: 0.5745238095238094 and parameters: {'n_estimators': 1357, 'max_depth': 1639, 'min_samples_split': 16, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 89 finished with value: 0.5870238095238094 and parameters: {'n_estimators': 1740, 'max_depth': 1703, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 90 finished with value: 0.5797619047619048 and parameters: {'n_estimators': 1603, 'max_depth': 1528, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 19 with value: 0.5920238095238096.
Trial 91 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 1514, 'max_depth': 1412, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 92 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 1537, 'max_depth': 1241, 'min_samples_split': 13, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 93 finished with value: 0.5820238095238096 and parameters: {'n_estimators': 1684, 'max_depth': 1451, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 94 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1577, 'max_depth': 1545, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 95 finished with value: 0.5892857142857143 and parameters: {'n_estimators': 1484, 'max_depth': 1139, 'min_samples_split': 14, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 96 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1469, 'max_depth': 1026, 'min_samples_split': 13, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 97 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 1650, 'max_depth': 1134, 'min_samples_split': 6, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 98 finished with value: 0.584047619047619 and parameters: {'n_estimators': 1798, 'max_depth': 848, 'min_samples_split': 15, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 99 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 1192, 'max_depth': 1070, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 100 finished with value: 0.5719047619047619 and parameters: {'n_estimators': 2003, 'max_depth': 1663, 'min_samples_split': 16, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 101 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 1329, 'max_depth': 1343, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 19 with value: 0.5920238095238096.
Trial 102 finished with value: 0.5969047619047619 and parameters: {'n_estimators': 1427, 'max_depth': 964, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 103 finished with value: 0.579404761904762 and parameters: {'n_estimators': 1260, 'max_depth': 928, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 104 finished with value: 0.5796428571428572 and parameters: {'n_estimators': 1382, 'max_depth': 1817, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 105 finished with value: 0.5794047619047619 and parameters: {'n_estimators': 1435, 'max_depth': 1007, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 106 finished with value: 0.5871428571428571 and parameters: {'n_estimators': 1904, 'max_depth': 820, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 107 finished with value: 0.5669047619047618 and parameters: {'n_estimators': 1628, 'max_depth': 1170, 'min_samples_split': 12, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 108 finished with value: 0.5921428571428572 and parameters: {'n_estimators': 1476, 'max_depth': 1272, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 109 finished with value: 0.5846428571428572 and parameters: {'n_estimators': 1557, 'max_depth': 732, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 102 with value: 0.5969047619047619.
Trial 110 finished with value: 0.591904761904762 and parameters: {'n_estimators': 1235, 'max_depth': 1251, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 111 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1234, 'max_depth': 1278, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 112 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1951, 'max_depth': 1245, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 113 finished with value: 0.5747619047619048 and parameters: {'n_estimators': 1064, 'max_depth': 1075, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 114 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1355, 'max_depth': 1388, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 115 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 1299, 'max_depth': 1304, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 116 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1133, 'max_depth': 1226, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 117 finished with value: 0.5920238095238096 and parameters: {'n_estimators': 931, 'max_depth': 1758, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 118 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 837, 'max_depth': 1867, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 119 finished with value: 0.581904761904762 and parameters: {'n_estimators': 779, 'max_depth': 1875, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 120 finished with value: 0.5747619047619048 and parameters: {'n_estimators': 939, 'max_depth': 2000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 121 finished with value: 0.5748809523809524 and parameters: {'n_estimators': 806, 'max_depth': 1907, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 122 finished with value: 0.5944047619047619 and parameters: {'n_estimators': 737, 'max_depth': 1800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 123 finished with value: 0.5945238095238096 and parameters: {'n_estimators': 729, 'max_depth': 1803, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
