A new study created in memory with name: no-name-17abffd7-4634-4ab1-a48d-2142b1ad262a
Start optimization.
Trial 0 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 203, 'criterion': 'gini', 'max_features': 362, 'min_samples_split': 7, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.5869047619047618.
Trial 18 finished with value: 0.5744047619047618 and parameters: {'n_estimators': 183, 'criterion': 'log_loss', 'max_features': 197, 'min_samples_split': 15, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 19 finished with value: 0.5745238095238094 and parameters: {'n_estimators': 253, 'criterion': 'log_loss', 'max_features': 117, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 20 finished with value: 0.5890476190476189 and parameters: {'n_estimators': 331, 'criterion': 'log_loss', 'max_features': 79, 'min_samples_split': 9, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 21 finished with value: 0.5817857142857144 and parameters: {'n_estimators': 235, 'criterion': 'entropy', 'max_features': 117, 'min_samples_split': 11, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 22 finished with value: 0.596547619047619 and parameters: {'n_estimators': 197, 'criterion': 'entropy', 'max_features': 120, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 23 finished with value: 0.5695238095238094 and parameters: {'n_estimators': 167, 'criterion': 'gini', 'max_features': 81, 'min_samples_split': 15, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 24 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 416, 'criterion': 'entropy', 'max_features': 150, 'min_samples_split': 9, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 25 finished with value: 0.6014285714285713 and parameters: {'n_estimators': 310, 'criterion': 'log_loss', 'max_features': 204, 'min_samples_split': 19, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 26 finished with value: 0.5988095238095237 and parameters: {'n_estimators': 317, 'criterion': 'log_loss', 'max_features': 220, 'min_samples_split': 22, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 27 finished with value: 0.5865476190476191 and parameters: {'n_estimators': 403, 'criterion': 'log_loss', 'max_features': 193, 'min_samples_split': 32, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 28 finished with value: 0.589047619047619 and parameters: {'n_estimators': 328, 'criterion': 'log_loss', 'max_features': 152, 'min_samples_split': 19, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 29 finished with value: 0.5742857142857142 and parameters: {'n_estimators': 244, 'criterion': 'gini', 'max_features': 72, 'min_samples_split': 7, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 30 finished with value: 0.5939285714285714 and parameters: {'n_estimators': 206, 'criterion': 'log_loss', 'max_features': 91, 'min_samples_split': 8, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 31 finished with value: 0.5917857142857144 and parameters: {'n_estimators': 374, 'criterion': 'log_loss', 'max_features': 108, 'min_samples_split': 13, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 32 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 217, 'criterion': 'entropy', 'max_features': 50, 'min_samples_split': 13, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 33 finished with value: 0.5892857142857142 and parameters: {'n_estimators': 252, 'criterion': 'entropy', 'max_features': 136, 'min_samples_split': 25, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 34 finished with value: 0.5917857142857141 and parameters: {'n_estimators': 160, 'criterion': 'gini', 'max_features': 103, 'min_samples_split': 17, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 35 finished with value: 0.5936904761904762 and parameters: {'n_estimators': 187, 'criterion': 'log_loss', 'max_features': 173, 'min_samples_split': 25, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 36 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 445, 'criterion': 'entropy', 'max_features': 71, 'min_samples_split': 11, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 37 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 372, 'criterion': 'gini', 'max_features': 242, 'min_samples_split': 31, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 38 finished with value: 0.5919047619047617 and parameters: {'n_estimators': 269, 'criterion': 'log_loss', 'max_features': 310, 'min_samples_split': 18, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 39 finished with value: 0.5892857142857143 and parameters: {'n_estimators': 231, 'criterion': 'entropy', 'max_features': 136, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 40 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 131, 'criterion': 'log_loss', 'max_features': 105, 'min_samples_split': 23, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 41 finished with value: 0.6015476190476189 and parameters: {'n_estimators': 313, 'criterion': 'log_loss', 'max_features': 255, 'min_samples_split': 21, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 42 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 304, 'criterion': 'log_loss', 'max_features': 289, 'min_samples_split': 18, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 43 finished with value: 0.5866666666666666 and parameters: {'n_estimators': 263, 'criterion': 'log_loss', 'max_features': 354, 'min_samples_split': 21, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 44 finished with value: 0.5914285714285713 and parameters: {'n_estimators': 296, 'criterion': 'log_loss', 'max_features': 220, 'min_samples_split': 28, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 45 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 352, 'criterion': 'entropy', 'max_features': 387, 'min_samples_split': 16, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 46 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 289, 'criterion': 'log_loss', 'max_features': 167, 'min_samples_split': 10, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 47 finished with value: 0.6060714285714286 and parameters: {'n_estimators': 494, 'criterion': 'entropy', 'max_features': 283, 'min_samples_split': 13, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 48 finished with value: 0.599047619047619 and parameters: {'n_estimators': 499, 'criterion': 'entropy', 'max_features': 279, 'min_samples_split': 37, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 49 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 462, 'criterion': 'log_loss', 'max_features': 254, 'min_samples_split': 21, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 50 finished with value: 0.5911904761904763 and parameters: {'n_estimators': 448, 'criterion': 'gini', 'max_features': 546, 'min_samples_split': 12, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 51 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 418, 'criterion': 'entropy', 'max_features': 192, 'min_samples_split': 14, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 52 finished with value: 0.6013095238095236 and parameters: {'n_estimators': 496, 'criterion': 'entropy', 'max_features': 223, 'min_samples_split': 17, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 53 finished with value: 0.591547619047619 and parameters: {'n_estimators': 499, 'criterion': 'entropy', 'max_features': 237, 'min_samples_split': 16, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 54 finished with value: 0.5863095238095238 and parameters: {'n_estimators': 466, 'criterion': 'entropy', 'max_features': 282, 'min_samples_split': 19, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 55 finished with value: 0.5767857142857142 and parameters: {'n_estimators': 437, 'criterion': 'entropy', 'max_features': 220, 'min_samples_split': 26, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 56 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 474, 'criterion': 'entropy', 'max_features': 344, 'min_samples_split': 11, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 57 finished with value: 0.5892857142857143 and parameters: {'n_estimators': 393, 'criterion': 'log_loss', 'max_features': 195, 'min_samples_split': 15, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 58 finished with value: 0.574404761904762 and parameters: {'n_estimators': 432, 'criterion': 'entropy', 'max_features': 261, 'min_samples_split': 17, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 59 finished with value: 0.5963095238095237 and parameters: {'n_estimators': 476, 'criterion': 'log_loss', 'max_features': 311, 'min_samples_split': 23, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 60 finished with value: 0.5911904761904762 and parameters: {'n_estimators': 396, 'criterion': 'entropy', 'max_features': 155, 'min_samples_split': 9, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 61 finished with value: 0.5889285714285715 and parameters: {'n_estimators': 345, 'criterion': 'entropy', 'max_features': 131, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 62 finished with value: 0.5989285714285714 and parameters: {'n_estimators': 311, 'criterion': 'entropy', 'max_features': 124, 'min_samples_split': 14, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 63 finished with value: 0.5890476190476189 and parameters: {'n_estimators': 278, 'criterion': 'entropy', 'max_features': 150, 'min_samples_split': 20, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 64 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 498, 'criterion': 'entropy', 'max_features': 173, 'min_samples_split': 10, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 65 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 422, 'criterion': 'log_loss', 'max_features': 93, 'min_samples_split': 14, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 66 finished with value: 0.5964285714285714 and parameters: {'n_estimators': 460, 'criterion': 'entropy', 'max_features': 199, 'min_samples_split': 18, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 67 finished with value: 0.5744047619047618 and parameters: {'n_estimators': 322, 'criterion': 'gini', 'max_features': 109, 'min_samples_split': 12, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 68 finished with value: 0.5986904761904762 and parameters: {'n_estimators': 215, 'criterion': 'log_loss', 'max_features': 141, 'min_samples_split': 16, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 69 finished with value: 0.5892857142857142 and parameters: {'n_estimators': 345, 'criterion': 'entropy', 'max_features': 123, 'min_samples_split': 7, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 70 finished with value: 0.5989285714285715 and parameters: {'n_estimators': 406, 'criterion': 'log_loss', 'max_features': 240, 'min_samples_split': 20, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 71 finished with value: 0.596547619047619 and parameters: {'n_estimators': 497, 'criterion': 'entropy', 'max_features': 273, 'min_samples_split': 33, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 72 finished with value: 0.5891666666666665 and parameters: {'n_estimators': 448, 'criterion': 'entropy', 'max_features': 298, 'min_samples_split': 33, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 73 finished with value: 0.5988095238095237 and parameters: {'n_estimators': 480, 'criterion': 'entropy', 'max_features': 257, 'min_samples_split': 42, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 74 finished with value: 0.591547619047619 and parameters: {'n_estimators': 425, 'criterion': 'entropy', 'max_features': 274, 'min_samples_split': 59, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 75 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 240, 'criterion': 'entropy', 'max_features': 218, 'min_samples_split': 28, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 76 finished with value: 0.5985714285714286 and parameters: {'n_estimators': 104, 'criterion': 'entropy', 'max_features': 330, 'min_samples_split': 22, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 77 finished with value: 0.5770238095238095 and parameters: {'n_estimators': 259, 'criterion': 'log_loss', 'max_features': 95, 'min_samples_split': 17, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 78 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 387, 'criterion': 'entropy', 'max_features': 84, 'min_samples_split': 13, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 79 finished with value: 0.594047619047619 and parameters: {'n_estimators': 456, 'criterion': 'log_loss', 'max_features': 178, 'min_samples_split': 15, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 80 finished with value: 0.5767857142857143 and parameters: {'n_estimators': 230, 'criterion': 'gini', 'max_features': 316, 'min_samples_split': 11, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 81 finished with value: 0.6040476190476192 and parameters: {'n_estimators': 436, 'criterion': 'log_loss', 'max_features': 250, 'min_samples_split': 21, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 82 finished with value: 0.5864285714285714 and parameters: {'n_estimators': 438, 'criterion': 'log_loss', 'max_features': 252, 'min_samples_split': 19, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 83 finished with value: 0.5964285714285713 and parameters: {'n_estimators': 481, 'criterion': 'log_loss', 'max_features': 206, 'min_samples_split': 25, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 84 finished with value: 0.596547619047619 and parameters: {'n_estimators': 499, 'criterion': 'log_loss', 'max_features': 284, 'min_samples_split': 17, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 85 finished with value: 0.5988095238095238 and parameters: {'n_estimators': 410, 'criterion': 'log_loss', 'max_features': 241, 'min_samples_split': 23, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 86 finished with value: 0.5966666666666666 and parameters: {'n_estimators': 466, 'criterion': 'log_loss', 'max_features': 224, 'min_samples_split': 14, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 87 finished with value: 0.5964285714285714 and parameters: {'n_estimators': 287, 'criterion': 'entropy', 'max_features': 380, 'min_samples_split': 19, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 88 finished with value: 0.5990476190476189 and parameters: {'n_estimators': 442, 'criterion': 'log_loss', 'max_features': 112, 'min_samples_split': 37, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 89 finished with value: 0.5795238095238094 and parameters: {'n_estimators': 377, 'criterion': 'entropy', 'max_features': 211, 'min_samples_split': 27, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 90 finished with value: 0.5963095238095237 and parameters: {'n_estimators': 482, 'criterion': 'entropy', 'max_features': 184, 'min_samples_split': 24, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 91 finished with value: 0.5989285714285713 and parameters: {'n_estimators': 438, 'criterion': 'log_loss', 'max_features': 102, 'min_samples_split': 35, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 92 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 451, 'criterion': 'log_loss', 'max_features': 114, 'min_samples_split': 38, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 93 finished with value: 0.5991666666666667 and parameters: {'n_estimators': 421, 'criterion': 'log_loss', 'max_features': 97, 'min_samples_split': 28, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 94 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 362, 'criterion': 'log_loss', 'max_features': 100, 'min_samples_split': 21, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 95 finished with value: 0.6014285714285714 and parameters: {'n_estimators': 416, 'criterion': 'log_loss', 'max_features': 82, 'min_samples_split': 21, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 96 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 416, 'criterion': 'log_loss', 'max_features': 86, 'min_samples_split': 28, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 97 finished with value: 0.6065476190476189 and parameters: {'n_estimators': 405, 'criterion': 'log_loss', 'max_features': 78, 'min_samples_split': 30, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 98 finished with value: 0.601547619047619 and parameters: {'n_estimators': 401, 'criterion': 'log_loss', 'max_features': 72, 'min_samples_split': 30, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 99 finished with value: 0.589047619047619 and parameters: {'n_estimators': 400, 'criterion': 'log_loss', 'max_features': 75, 'min_samples_split': 31, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 100 finished with value: 0.5889285714285714 and parameters: {'n_estimators': 383, 'criterion': 'log_loss', 'max_features': 68, 'min_samples_split': 22, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 101 finished with value: 0.5966666666666666 and parameters: {'n_estimators': 422, 'criterion': 'log_loss', 'max_features': 64, 'min_samples_split': 29, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 102 finished with value: 0.6038095238095237 and parameters: {'n_estimators': 399, 'criterion': 'log_loss', 'max_features': 78, 'min_samples_split': 26, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 103 finished with value: 0.5817857142857144 and parameters: {'n_estimators': 397, 'criterion': 'log_loss', 'max_features': 78, 'min_samples_split': 25, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 104 finished with value: 0.5986904761904761 and parameters: {'n_estimators': 361, 'criterion': 'log_loss', 'max_features': 87, 'min_samples_split': 24, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 105 finished with value: 0.5892857142857143 and parameters: {'n_estimators': 468, 'criterion': 'log_loss', 'max_features': 78, 'min_samples_split': 26, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 106 finished with value: 0.5867857142857141 and parameters: {'n_estimators': 330, 'criterion': 'log_loss', 'max_features': 56, 'min_samples_split': 30, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 107 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 383, 'criterion': 'log_loss', 'max_features': 70, 'min_samples_split': 21, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 108 finished with value: 0.599047619047619 and parameters: {'n_estimators': 407, 'criterion': 'log_loss', 'max_features': 88, 'min_samples_split': 18, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 109 finished with value: 0.591547619047619 and parameters: {'n_estimators': 429, 'criterion': 'log_loss', 'max_features': 81, 'min_samples_split': 20, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 110 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 450, 'criterion': 'log_loss', 'max_features': 73, 'min_samples_split': 16, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 111 finished with value: 0.579404761904762 and parameters: {'n_estimators': 431, 'criterion': 'log_loss', 'max_features': 93, 'min_samples_split': 23, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 112 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 414, 'criterion': 'log_loss', 'max_features': 81, 'min_samples_split': 30, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 113 finished with value: 0.5966666666666666 and parameters: {'n_estimators': 461, 'criterion': 'log_loss', 'max_features': 66, 'min_samples_split': 27, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 114 finished with value: 0.6016666666666667 and parameters: {'n_estimators': 394, 'criterion': 'log_loss', 'max_features': 60, 'min_samples_split': 22, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 115 finished with value: 0.5817857142857142 and parameters: {'n_estimators': 395, 'criterion': 'gini', 'max_features': 64, 'min_samples_split': 20, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 116 finished with value: 0.5889285714285715 and parameters: {'n_estimators': 368, 'criterion': 'log_loss', 'max_features': 61, 'min_samples_split': 22, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 117 finished with value: 0.5942857142857143 and parameters: {'n_estimators': 341, 'criterion': 'log_loss', 'max_features': 75, 'min_samples_split': 18, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 118 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 376, 'criterion': 'log_loss', 'max_features': 62, 'min_samples_split': 16, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 119 finished with value: 0.599047619047619 and parameters: {'n_estimators': 353, 'criterion': 'log_loss', 'max_features': 68, 'min_samples_split': 26, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 120 finished with value: 0.5817857142857144 and parameters: {'n_estimators': 392, 'criterion': 'log_loss', 'max_features': 233, 'min_samples_split': 24, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 121 finished with value: 0.5792857142857143 and parameters: {'n_estimators': 483, 'criterion': 'log_loss', 'max_features': 98, 'min_samples_split': 29, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 122 finished with value: 0.5963095238095237 and parameters: {'n_estimators': 414, 'criterion': 'log_loss', 'max_features': 107, 'min_samples_split': 34, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 123 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 443, 'criterion': 'log_loss', 'max_features': 58, 'min_samples_split': 19, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 124 finished with value: 0.5841666666666666 and parameters: {'n_estimators': 468, 'criterion': 'log_loss', 'max_features': 88, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 125 finished with value: 0.5989285714285713 and parameters: {'n_estimators': 426, 'criterion': 'log_loss', 'max_features': 50, 'min_samples_split': 22, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 126 finished with value: 0.5791666666666665 and parameters: {'n_estimators': 368, 'criterion': 'log_loss', 'max_features': 73, 'min_samples_split': 27, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 127 finished with value: 0.5864285714285715 and parameters: {'n_estimators': 308, 'criterion': 'gini', 'max_features': 96, 'min_samples_split': 13, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
